Application,OPEX-CAPEX,COST,Currency
Invanti Patch for Windows Servers Standard,Annual Maintenance,10735,USD
Red Hat,Annual Maintenance,46104,USD
Commvault,Annual Maintenance,126635.45,CAN
Siteuptime,Annual Maintenance,238,USD
Solarwinds Maintenance,Annual Maintenance,27921.17,USD
Splunk Renewal,Annual Maintenance,21470,USD
Trend Micro Deep Security,Annual Maintenance,20162.59,CAN
Mac Pro Server,Capital,20000,CAN
PE 210 II,Capital,20000,CAN
PE M620,Capital,20000,CAN
PE M630,Capital,20000,CAN
PE R210 II,Capital,20000,CAN
PE R510,Capital,30000,CAN
PE R530,Capital,30000,CAN
PE R710,Capital,30000,CAN
PE R720,Capital,60000,CAN
PE R720xd,Capital,60000,CAN
PE R730,Capital,60000,CAN
PE R730xd,Capital,60000,CAN
PE R805,Capital,60000,CAN
PE R810,Capital,60000,CAN
PE R815,Capital,60000,CAN
PE R820,Capital,60000,CAN
PE T320,Capital,25000,CAN
PE T330,Capital,25000,CAN
PE T710,Capital,25000,CAN
PE2950,Capital,35000,CAN
PE2970,Capital,35000,CAN
UCS C220 M3,Capital,40000,CAN
